hotspot_rank,region_id,date,lat,lon,hcho_value_calibrated,cloud_fraction
1,punjab_stubble_belt,2026-08-16,31.725,74.675,0.0003230039410378,0.1715516668022179
2,punjab_stubble_belt,2026-08-16,31.725,74.725,0.0003137045236633,0.1759830393576743
3,punjab_stubble_belt,2026-08-16,31.775,74.725,0.0003041187446442,0.1565498509955528
4,punjab_stubble_belt,2026-08-16,31.775,74.775,0.0003036875509629,0.1535282840147556
5,punjab_stubble_belt,2026-08-16,31.725,74.775,0.0002987881441063,0.1896338932724391
6,punjab_stubble_belt,2026-08-16,31.675,74.825,0.0002844560894118,0.1850776866315317
7,punjab_stubble_belt,2026-08-16,31.775,74.675,0.0002816849686211,0.1765858767596826
8,punjab_stubble_belt,2026-08-16,31.675,74.775,0.0002788569915206,0.1841019409645636
9,kanpur_industrial,2026-08-16,26.525,80.375,0.0002775220694,0.1650716284906068
10,kanpur_industrial,2026-08-16,26.475,80.425,0.0002758927930128,0.1609395506126407
11,punjab_stubble_belt,2026-08-16,31.675,74.875,0.0002756709662175,0.1883876986357488
12,kanpur_industrial,2026-08-16,26.475,80.375,0.0002723833605313,0.1632277974238219
13,kanpur_industrial,2026-08-16,26.525,80.325,0.0002721736699244,0.1693219844272821
14,punjab_stubble_belt,2026-08-16,31.675,74.725,0.0002693532845137,0.1886935783068044
15,punjab_stubble_belt,2026-08-16,31.775,74.825,0.0002687003319604,0.1624206444983748
16,kanpur_industrial,2026-08-16,26.525,80.425,0.0002682805281361,0.1523559255070749
17,punjab_stubble_belt,2026-08-16,31.725,74.825,0.0002673251693165,0.1919003261823992
18,punjab_stubble_belt,2026-08-16,31.725,74.625,0.0002655003253221,0.1646627739216844
19,punjab_stubble_belt,2026-08-16,31.825,74.775,0.0002620245693902,0.1617188566973217
20,kanpur_industrial,2026-08-16,26.575,80.425,0.0002613363048561,0.1384588117858191
21,kanpur_industrial,2026-08-16,26.475,80.475,0.0002574208117674,0.158731260159316
22,punjab_stubble_belt,2026-08-16,31.825,74.725,0.0002570672610334,0.1624609035469192
23,punjab_stubble_belt,2026-08-16,31.775,74.625,0.0002544812441431,0.1501261117680206
24,punjab_stubble_belt,2026-08-16,31.375,75.3,0.0002542404354315,0.1529679345596484
25,punjab_stubble_belt,2026-08-16,31.325,75.3,0.0002541068182528,0.1595445193914798
26,kanpur_industrial,2026-08-16,26.525,80.475,0.0002536279983647,0.140613664680423
27,kanpur_industrial,2026-08-16,26.325,80.275,0.0002534336994277,0.1118979164319737
28,punjab_stubble_belt,2026-08-16,31.425,75.3,0.0002525547153157,0.1348911025675432
29,kanpur_industrial,2026-08-16,26.425,80.425,0.0002523756307166,0.1595798413577118
30,kanpur_industrial,2026-08-16,26.325,80.175,0.0002519775176304,0.1244688000967497
31,punjab_stubble_belt,2026-08-16,31.875,74.925,0.000251827707475,0.1810931919182068
32,kanpur_industrial,2026-08-16,26.575,80.375,0.000250407276149,0.1659986885083192
33,kanpur_industrial,2026-08-16,26.575,80.475,0.0002495016098551,0.1266104274927737
34,punjab_stubble_belt,2026-08-16,31.625,74.925,0.0002478537726877,0.1717177214805971
35,punjab_stubble_belt,2026-08-16,31.625,74.775,0.0002470543997439,0.1733773330319842
36,punjab_stubble_belt,2026-08-16,31.825,74.825,0.0002453922120776,0.1678632441082514
37,punjab_stubble_belt,2026-08-16,31.675,74.625,0.0002438649718654,0.1787545967032595
38,kanpur_industrial,2026-08-16,26.325,80.225,0.0002436707591948,0.1228126133633835
39,kanpur_industrial,2026-08-16,26.525,80.525,0.0002431029776576,0.1430015295257552
40,punjab_stubble_belt,2026-08-16,31.675,74.675,0.0002430924400488,0.1779173330440477
41,punjab_stubble_belt,2026-08-16,31.625,74.825,0.0002420313574516,0.1775982532282951
42,punjab_stubble_belt,2026-08-16,31.625,74.725,0.0002419375523436,0.1740813721722083
43,kanpur_industrial,2026-08-16,26.425,80.475,0.0002411230913875,0.1666458878549017
44,punjab_stubble_belt,2026-08-16,31.325,75.275,0.0002391373945558,0.1558568608289742
45,punjab_stubble_belt,2026-08-16,31.475,74.925,0.0002388002175045,0.1688371170005446
46,punjab_stubble_belt,2026-08-16,31.575,74.975,0.0002375367151179,0.1752868799828348
47,punjab_stubble_belt,2026-08-16,31.825,74.675,0.0002373011639407,0.152710579694429
48,punjab_stubble_belt,2026-08-16,31.575,74.925,0.0002372799517782,0.170690473748916
49,punjab_stubble_belt,2026-08-16,31.525,74.625,0.0002372733832411,0.1758666918938429
50,punjab_stubble_belt,2026-08-16,31.875,74.625,0.0002368231116263,0.1388041452757366
51,punjab_stubble_belt,2026-08-16,31.725,75.275,0.000236098444319,0.1413495567723944
52,punjab_stubble_belt,2026-08-16,31.875,74.725,0.0002355612925871,0.1600268262763427
53,punjab_stubble_belt,2026-08-16,31.875,74.775,0.000235474509712,0.1571993632658063
54,punjab_stubble_belt,2026-08-16,31.825,74.625,0.0002354516302103,0.1384388580140265
55,kanpur_industrial,2026-08-16,26.475,80.525,0.0002348841180329,0.1483019534226052
56,punjab_stubble_belt,2026-08-16,31.625,74.875,0.0002348649664934,0.1827431321508974
57,kanpur_industrial,2026-08-16,26.475,80.55,0.0002332843153435,0.1495699395010587
58,kanpur_industrial,2026-08-16,26.475,80.325,0.0002321027690162,0.1709621467313553
59,kanpur_industrial,2026-08-16,26.525,80.55,0.0002318239537224,0.1529480245359775
