hotspot_id,region_id,date,centroid_lat,centroid_lon,avg_estimated_aqi,max_estimated_aqi,severity,affected_cell_count
HS_delhi_ncr_2025-10-15_001,delhi_ncr,2025-10-15,28.475,76.8786,231.3,263.2,Poor,14
HS_delhi_ncr_2025-10-15_002,delhi_ncr,2025-10-15,28.4976,77.1073,255.3,335.3,Very Poor,31
HS_delhi_ncr_2025-10-15_003,delhi_ncr,2025-10-15,28.4908,77.4086,266.3,338.2,Very Poor,38
HS_delhi_ncr_2025-10-15_004,delhi_ncr,2025-10-15,28.85,76.925,211.6,214.5,Poor,2
HS_delhi_ncr_2025-10-15_005,delhi_ncr,2025-10-15,28.785,77.12,231.9,320.1,Very Poor,20
HS_delhi_ncr_2025-10-15_006,delhi_ncr,2025-10-15,28.7875,77.4036,237.5,315.3,Very Poor,28
HS_delhi_ncr_2025-10-16_007,delhi_ncr,2025-10-16,28.4673,76.8788,231.2,275.1,Poor,13
HS_delhi_ncr_2025-10-16_008,delhi_ncr,2025-10-16,28.4947,77.1023,248.1,297.9,Poor,33
HS_delhi_ncr_2025-10-16_009,delhi_ncr,2025-10-16,28.5012,77.4206,290.7,440.4,Severe,40
HS_delhi_ncr_2025-10-16_010,delhi_ncr,2025-10-16,28.7188,76.8812,224.8,268.4,Poor,8
HS_delhi_ncr_2025-10-16_011,delhi_ncr,2025-10-16,28.769,77.099,231.3,292.7,Poor,25
HS_delhi_ncr_2025-10-16_012,delhi_ncr,2025-10-16,28.7558,77.4308,232.6,309.0,Very Poor,26
HS_delhi_ncr_2025-10-17_013,delhi_ncr,2025-10-17,28.4635,76.875,240.0,297.6,Poor,13
HS_delhi_ncr_2025-10-17_014,delhi_ncr,2025-10-17,28.5,77.1,280.7,395.4,Very Poor,36
HS_delhi_ncr_2025-10-17_015,delhi_ncr,2025-10-17,28.4982,77.4183,328.1,407.4,Severe,41
HS_delhi_ncr_2025-10-17_016,delhi_ncr,2025-10-17,28.7917,76.8806,237.0,284.7,Poor,9
HS_delhi_ncr_2025-10-17_017,delhi_ncr,2025-10-17,28.775,77.1,286.8,387.1,Very Poor,30
HS_delhi_ncr_2025-10-17_018,delhi_ncr,2025-10-17,28.7735,77.4176,279.1,348.5,Very Poor,34
HS_delhi_ncr_2025-10-18_019,delhi_ncr,2025-10-18,28.5,76.875,265.2,290.4,Poor,18
